Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Double Clubbell Order Bulgarian Split Squat,,https://youtu.be/aHIntdF9TlI?si=PlDrrrvPa1NahU-k,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,2,,,Single Leg Supported,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Barbell Hang Squat Clean,https://youtu.be/YZUdVyVV3uI?si=gWL2sofp3-9XG4uU,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Olympic Weightlifting 
Kettlebell Single Leg Standing Hip Flexion,https://youtu.be/djxTlEIJdqc?si=IDadWzv3enNpiltr,,Intermediate,Hip Flexors,Iliopsoas,Rectus Femoris,,Kettlebell,1,,,Single Leg Standing,No Arms,Continuous,No Grip,Other,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Miniband Supine Alternating Hip Flexion,https://youtu.be/hcB3BdFBk9o?si=NCYoHHaTofHXzx2y,,Beginner,Hip Flexors,Iliopsoas,Rectus Femoris,,Miniband,1,,,Supine,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Double Indian Club Inner Heart Shaped Swing,,https://youtu.be/W_o86GY2RYU?si=townxxYdN6ZgymIV,Intermediate,Shoulders,Posterior Deltoids,,,Indian Club,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,,,,Frontal Plane,,,Upper Body,,,Bilateral,Mobility
Single Arm Indian Club Inner Heart Shaped Swing,,,Novice,Shoulders,Posterior Deltoids,,,Indian Club,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,,,,Frontal Plane,,,Upper Body,,,Unilateral,Mobility
Alternating Double Indian Club Inner Heart Shaped Swing,,https://youtu.be/B_HPnZEW5no?si=HpyhdneEbF3xO6jT,Intermediate,Shoulders,Posterior Deltoids,,,Indian Club,2,,,Standing,Double Arm,Alternating,Neutral,Other,Single Exercise,,,,Frontal Plane,,,Upper Body,,,Unilateral,Mobility
Double Indian Club Crescent Swing,,,Advanced,Shoulders,Posterior Deltoids,Obliques,,Indian Club,2,,,Standing,Double Arm,Alternating,Neutral,Other,Single Exercise,,,,Transverse Plane,,,Upper Body,,,Unilateral,Mobility
Single Arm Clubbell Barbarian Squat,,https://youtu.be/g1NRUDyqlH8?si=D2hTo9Ntck6F1dcx,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Unilateral,
Single Arm Clubbell Single Leg Standing Bent Knee Ipsilateral Shield Cast,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Full Body,Pull,Compound,Ipsilateral,Balance
Clubbell Order Cyclist Squat,,https://youtu.be/_ckOSXnMuXo?si=ljb43FTe1n7YBdl8,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,1,Slant Board,1,Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Single Arm Clubbell Order Contralateral Bulgarian Split Squat,,https://youtu.be/FCsM9fm0xPY?si=8FFkfLmFOgxlcsFY,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,1,,,Single Leg Supported,Single Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,
Alternating Double Clubbell Side Flag Press,,,Intermediate,Shoulders,Medial Deltoids,,,Clubbell,2,,,Standing,Double Arm,Alternating,Neutral,Other,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Compound,Unilateral,
Single Arm Clubbell Side Flag Press,,,Intermediate,Shoulders,Medial Deltoids,,,Clubbell,2,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Compound,Unilateral,
Single Arm Clubbell Side Shoulder Cast,,,Intermediate,Shoulders,Posterior Deltoids,,,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,
Clubbell Order Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Single Arm Clubbell Order Ipsilateral Bulgarian Split Squat,,https://youtu.be/hj6VJzYrkY0?si=fsHR5hg8cUmEtRGK,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,1,,,Single Leg Supported,Single Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,
Single Arm Clubbell Order Squat,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Clubbell Order Squat,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Single Arm Macebell Front Swing to 360,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Combo Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Upper Body,Pull,Compound,Unilateral,
Single Arm Ring Dead Hang,https://youtu.be/7J_x9uMtr-o?si=2tga8qG4urWcSCMT,,Novice,Back,Latissimus Dorsi,,,Gymnastic Rings,1,,,Hanging,Single Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Unilateral,Calisthenics
Clubbell Torch Press,,https://youtu.be/ZLwgEO6J89U?si=L6zaRYpDOG7rBE6z,Novice,Shoulders,Anterior Deltoids,Triceps Brachaii,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Single Arm Clubbell Torch Press,,https://youtu.be/KFluTacbjKU?si=8mY0r8-MlBTvBADs,Novice,Shoulders,Anterior Deltoids,Triceps Brachaii,,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Double Clubbell Torch Press,,,Novice,Shoulders,Anterior Deltoids,Triceps Brachaii,,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Alternating Double Clubbell Torch Press,,,Novice,Shoulders,Anterior Deltoids,Triceps Brachaii,,Clubbell,2,,,Standing,Double Arm,Alternating,Neutral,Other,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Single Arm Clubbell Front Flag Press,,,Novice,Shoulders,Anterior Deltoids,Triceps Brachaii,,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Double Clubbell Front Flag Press,,,Novice,Shoulders,Anterior Deltoids,Triceps Brachaii,,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Alternating Double Clubbell Front Flag Press,,,Novice,Shoulders,Anterior Deltoids,Triceps Brachaii,,Clubbell,2,,,Standing,Double Arm,Alternating,Neutral,Other,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Double Indian Club Lateral Internal and External Rotations,,,Novice,Shoulders,Posterior Deltoids,,,Indian Club,2,,,Standing,Double Arm,Continuous,Neutral,Lateral,Single Exercise,,,,Sagittal Plane,,,Upper Body,,,Bilateral,Mobility
Single Arm Indian Club Lateral Internal and External Rotation,,,Novice,Shoulders,Posterior Deltoids,,,Indian Club,1,,,Standing,Single Arm,Continuous,Neutral,Lateral,Single Exercise,,,,Sagittal Plane,,,Upper Body,,,Unilateral,Mobility
Double Indian Club Overhead Arm Circles,,,Novice,Shoulders,Medial Deltoids,,,Indian Club,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,,,,Sagittal Plane,,,Upper Body,Other,,Bilateral,Mobility
Double Indian Club Lateral Arm Circles,,,Novice,Shoulders,Medial Deltoids,,,Indian Club,2,,,Standing,Double Arm,Continuous,Neutral,Lateral,Single Exercise,,,,Sagittal Plane,,,Upper Body,Other,,Bilateral,Mobility
Resistance Band Shoulder Dislocates,,https://youtu.be/2Yvkc77evN0?si=VEM5C0oL2fIS5eiY,Novice,Shoulders,Posterior Deltoids,,,Resistance Band,1,,,Standing,Double Arm,Continuous,Pronated,Lateral,Single Exercise,,,,Sagittal Plane,,,Upper Body,,Compound,Bilateral,Mobility
Suspension Reverse Grip Bicep Curl,https://youtu.be/yewf3adybcc?si=-PZ9RsGl7FC8vp7J,,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Suspension Trainer,1,,,Standing,Double Arm,Continuous,Pronated,No Load,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,
Bulgarian Bag Side to Side Swing,,https://youtu.be/BtQXVVu86Ug?si=yr6zjamvI2-gV-Wl,Intermediate,Abdominals,Obliques,,,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,
Barbell Reverse Grip Bicep Curl,,https://youtu.be/SQOsKWSHTMo?si=3SN_Hd0DI4UJoG65,Intermediate,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Straight Bar Reverse Grip Bicep Curl,https://youtu.be/RLlT3qbVS3Q?si=SYASKBhplBkTNYee,,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Cable,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Straight Bar Bicep Curl,https://youtu.be/F3Y03RnVY8Y?si=8uzaga9fPI14rc9M,https://youtu.be/840rgLSw-84?si=4z2ViUdKdvN8MLLp,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,,,Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Clubbell Clean,,,Novice,Glutes,Gluteus Maximus,Brachioradialis,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Double Clubbell Clean,,https://youtu.be/XRyFEfRbHYY?si=9uHqeQJHtoWY-upd,Novice,Glutes,Gluteus Maximus,Brachioradialis,,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Single Arm Clubbell Clean,,,Novice,Glutes,Gluteus Maximus,Brachioradialis,,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Order,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Single Arm Clubbell Reverse Mill,https://youtu.be/DgvB0h6c-d0?si=TJ0lPnHQDE9xHCuf,https://youtu.be/B8YWWwRB8fo?si=le4jfzg8-aRIxeLH,Intermediate,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,
Bulgarian Bag Spin,https://youtu.be/PbysPTU69fc?si=8cDk2dXzGqWm8BiX,https://youtu.be/QwaxyJG9MFM?si=2XrD59ek9Y4-o8-L,Advanced,Shoulders,Posterior Deltoids,Obliques,,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,
Bulgarian Bag Alternating Spin,,,Advanced,Shoulders,Posterior Deltoids,Obliques,,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,
Bulgarian Bag Alternating Spin to Side Swing Squat,https://youtu.be/2UpONYbzL7c?si=C2NbwmasH7LSljdz,,Advanced,Shoulders,Posterior Deltoids,Obliques,Quadriceps Femoris,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,,Compound,Bilateral,
Bulgarian Bag Swipe,https://youtu.be/qFNcznHSBo8?si=5hfD700tGnPBWD3l,,Intermediate,Glutes,Posterior Deltoids,,,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Bulgarian Bag Snatch,https://youtu.be/9-gxBjR4OyE?si=Z1RZknDb7e1_9QmD,https://youtu.be/LZNJdtSUG2g?si=VL3fegXQBKZIbUCg,Intermediate,Glutes,Gluteus Maximus,,,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Bulgarian Bag Alternating Rotational Snatch,,,Advanced,Shoulders,Anterior Deltoids,Obliques,Gluteus Maximus,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,,Compound,Bilateral,Ballistics
Bulgarian Bag Alternating Side Swing Squat,https://youtu.be/KCyWRqPHOCQ?si=bsZ5UbqpPjccsnEp,,Advanced,Abdominals,Obliques,Quadriceps Femoris,,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Full Body,,Compound,Bilateral,Ballistics
Bulgarian Bag Clean,,https://youtu.be/o4PZBvlbkAk?si=fdFl2ErxtWiwCSWW,Intermediate,Glutes,Gluteus Maximus,,,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Bulgarian Bag Swing,https://youtu.be/Q7rAfqN-NH0?si=zEMPL2_L-ZEUhtLj,,Novice,Glutes,Gluteus Maximus,,,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Bulgarian Bag Front Squat,https://youtu.be/jAo338cgsmU?si=1dPZPEL1g1HDUuIC,,Novice,Quadriceps,Gluteus Maximus,,,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Supinated,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Bulgarian Bag Back Squat,,https://youtu.be/77bp2Vf5KOY?si=qgFXxKXj-bodeUVk,Novice,Quadriceps,Gluteus Maximus,,,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Back Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Bulgarian Bag Swing Squat,,https://youtu.be/pKkO375ukiM?si=hViaWAmn-trGHUuI,Advanced,Glutes,Gluteus Maximus,Quadriceps Femoris,,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Bulgarian Bag Alternating Forward Lunge with Rotation,,https://youtu.be/jI5o5O6ADpU?si=9f_wK-1jSFrrTJ9v,Intermediate,Quadriceps,Quadriceps Femoris,Obliques,,Bulgarian Bag,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Knee Dominant,Rotational,,Transverse Plane,,,Full Body,Push,Compound,Unilateral,
Clubbell Tall Kneeling Gamma Cast,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Tall Kneeling,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Upper Body,Pull,Compound,Bilateral,
Clubbell Tall Kneeling Shield Cast,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Tall Kneeling,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Upper Body,Pull,Compound,Bilateral,
Single Arm Clubbell Tall Kneeling Shield Cast,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Tall Kneeling,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Upper Body,Pull,Compound,Bilateral,
Double Clubbell Swipe to Alternating Shield Cast,,,Advanced,Shoulders,Posterior Deltoids,Gluteus Maximus,,Clubbell,2,,,Standing,Double Arm,Alternating,Neutral,Overhead,Combo Exercise,Rotational,Hip Hinge,,Transverse Plane,Frontal Plane,Sagittal Plane,Full Body,Pull,Compound,Unilateral,
Double Clubbell Order Cyclist Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,2,Slant Board,1,Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Single Arm Clubbell Order Cyclist Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,1,Slant Board,1,Standing,Single Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Single Arm Clubbell Mill,,https://youtu.be/xRF2mbZzSdo?si=rxxBNrIyL2Vhwv7M,Intermediate,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Double Clubbell Mill,https://youtu.be/vwRppLKenzw?si=lWbUFOXUJgHzwIVl,,Intermediate,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,
Single Arm Cable Reverse Grip Bicep Curl,https://youtu.be/SIuDkLLlL6E?si=_Y_P-I5PU4GP5LRy,,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Cable,1,,,Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Dumbbell Goblet Low Switch Cossack Squat,https://youtu.be/ggVuR079WHM?si=QWRGadB6a4zrJrLz,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,,,Standing,Double Arm,Continuous,Goblet,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Kettlebell Goblet Low Switch Cossack Squat,https://youtu.be/Eod-qE6O33E?si=6CUX35luY_zr0tT_,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,,Standing,Double Arm,Continuous,Goblet,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Front Rack Cossack Squat,https://youtu.be/sBuAJggOIxE?si=CST2KlC-8f_fnogp,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Front Rack Low Switch Cossack Squat,https://youtu.be/j9sFzOeMmxY?si=i2yJV3WJb2pBCf0X,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Cossack Squat,https://youtu.be/hTNWWqL9oc8?si=cTXB5vGf2EIHhx3r,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Overhead Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Overhead Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Front Rack Cossack Squat,https://youtu.be/ZxjMX7k3Zp0?si=pZtrI1oUYV-FsjgX,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Overhead Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Low Hold Alternating Cossack Squat,https://youtu.be/k6L3kWztcNs?si=GiG4ZJIK5HCWo7Rm,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Low Hold Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
